	BCM8	BCM9	BCM12	BCM14	BCM15	BCM23	BCM24	BCM26	BCM27	BCM28
Aerococcaceae	22	16	0	12	25	28	7	20	0	40
Actinomycetaceae	26	22	0	14	31	26	25	14	0	26
Alcaligenaceae	33	19	50	779	3	20	20	6	59	17
Bradyrhizobiaceae	62	32	170	44	42	61	53	39	63	67
Bacteroidaceae	202	4	185	19	18	27	20	21	55	10
Burkholderiaceae	2274	1577	3447	1835	1978	1996	1727	531	2104	2004
Carnobacteriaceae	73	73	0	51	50	63	48	58	0	117
Caulobacteraceae	110	52	91	82	111	85	83	54	291	58
Christensenellaceae	11	14	0	18	10	21	11	25	0	22
Chitinophagaceae	13	14	64	12	6	13	10	26	0	19
Clostridiaceae	100	48	84	53	76	118	63	42	103	86
Comamonadaceae	20	22	0	19	23	18	18	21	0	26
Corynebacteriaceae	449	535	21	474	289	378	361	414	33	775
Erwiniaceae	11	11	133	6	5	10	8	14	102	21
Enterobacteriaceae	720	2140	4387	3650	4607	1453	1327	1763	1094	1673
Enterococcaceae	131	118	125	254	27	12	17	9	5	12
Fusobacteriaceae	0	0	0	0	0	0	0	941	0	0
Hafniaceae	2385	5	31	17	0	101	62	275	2956	8
Halomonadaceae	28	7	0	13	29	27	18	7	0	12
Hyphomicrobiaceae	20	10	0	11	10	27	11	15	0	7
"Incertae sedis —""com posição incerta"""	15	11	0	4	9	9	22	16	0	39
Lactobacillaceae	172	158	126	143	178	184	128	141	302	261
Lawsonellaceae	59	93	2	64	56	74	58	65	0	119
Microbacteriaceae	30	15	17	29	13	15	14	17	29	30
Micrococcaceae	11	26	4	5	3	9	4	17	3	64
Moraxellaceae	46	56	53	45	42	43	33	101	5	125
Morganellaceae	841	3994	829	905	394	3247	4420	3391	1402	2662
Neisseriaceae	441	297	0	392	410	369	301	230	0	415
Oxalobacteraceae	60	46	0	51	54	71	44	48	0	65
Pasteurellaceae	266	173	3	202	267	221	225	123	75	257
Peptoniphilaceae	3	5	101	3	1	1	0	7	5	6
Peptostreptococcaceae	21	13	0	18	12	18	7	22	22	17
Porphyromonadaceae	0	0	0	0	651	0	0	0	0	0
Pseudomonadaceae	38	34	298	24	32	98	38	36	103	167
Rhodanobacteraceae	15	19	0	11	8	9	16	16	0	32
Rhodobacteraceae	17	20	1	18	8	16	13	20	111	22
Ruminococcaceae	58	21	17	20	34	35	39	25	87	47
Staphylococcaceae	425	222	59	357	303	350	289	243	193	294
Sphingomonadaceae	146	53	77	105	131	133	98	29	264	109
Streptococcaceae	739	508	2	607	572	641	518	350	17	677
Unknown_family	2	1	0	1	0	2	0	0	325	1
Veillonellaceae	37	64	166	46	24	35	30	52	37	79
Verrucomicrobiaceae	6	2	1	6	1	0	0	1	196	3
Xanthomonadaceae	11	16	0	63	23	31	19	12	0	23
Yersiniaceae	422	5	27	89	5	476	366	1314	530	57
