;Kingdom;Phylum;Class;Order;Family;Genus
OTU_8;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
OTU_21;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Lawsonellaceae;Lawsonella
OTU_37;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
OTU_41;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium 
OTU_45;Bacteria;Actinobacteria;Actinomycetia;Microbacteriales;Microbacteriaceae;Protaetiibacter
OTU_50;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
OTU_52;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
OTU_58;Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces
OTU_67;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
OTU_75;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus
OTU_25;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas
OTU_51;Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Unknown_genus
OTU_60;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
OTU_42;Bacteria;Cyanobacteria;Unknown_class;Unknown_order;Unknown_family;Unknown_genus
OTU_5;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
OTU_10;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
OTU_16;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_17;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_20;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
OTU_24;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum
OTU_31;Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
OTU_34;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
OTU_35;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
OTU_43;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
OTU_46;Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
OTU_47;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
OTU_54;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
OTU_57;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_61;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
OTU_62;Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Granulicatella
OTU_63;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
OTU_64;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus
